year	month	day	34.5	190	1500	1040
2004	12	10	18	14	6	15
2004	12	11	15	18	6	12
2004	12	12	17	14.5	8	13
2004	12	13	18.5	10	4.8	6
2004	12	14	15.5	14	8	13
2004	12	15	17	11	6	7
2004	12	16	15	10	4.8	4
2004	12	17	13	6.5	4	3
2004	12	18	13	6	3.6	3
2004	12	19	13	10.5	4	8
2004	12	20	15.5	12.5	5	8
2004	12	21	15	9.5	3	7
2004	12	22	16.5	15	2	7
2004	12	23	14	14.5	5	10
2004	12	24	15	16.5	6	7
2004	12	25	16.5	18	7	12
2004	12	26	12	10.5	4.2	9
2004	12	27	14.5	7.6	0.8	3
2004	12	28	12	10.5	-4	4
2004	12	29	10.5	14	4	7
2004	12	30	23	15.5	8	15
2004	12	31	26	24	9.5	16
2005	1	1	17	19.5	8.8	12.4
2005	1	2	15	17.5	9	9
2005	1	3	15	11.5	8	13
2005	1	4	15	8.5	5.4	5
2005	1	5	17	17.5	5	15
2005	1	6	15	12.5	6	12
2005	1	7	15	10	3	5
2005	1	8	15.5	14	5	11
2005	1	9	16.5	14.5	6	9
2005	1	10	16.5	14.5	5	11
2005	1	11	14	8	2.2	7
2005	1	12	15	10.5	-1	6
2005	1	13	16.5	14	3	4
2005	1	14	16.5	14.5	2.2	5.2
2005	1	15	15	12.5	6	8
2005	1	16	15.5	14	6	9
2005	1	17	17	14.5	6	10
2005	1	18	16.5	14	7	8
2005	1	19	15	11	6	12
2005	1	20	13	7.5	9	5.2
2005	1	21	15	11.5	3	7
2005	1	22	15.5	14.5	5	7
2005	1	23	14.5	10.5	4	7
2005	1	24	17	21	6	10
2005	1	25	13.2	13	1	6
2005	1	26	16.5	10.5	3	5
2005	1	27	15.5	14	1	10
2005	1	28	15	14.5	4	9
2005	1	29	16	14	5	8
2005	1	30	14	18	9	12
2005	1	31	16.5	14.5	10	12
2005	2	1	15.5	11	8	12
2005	2	2	13	9.4	5.8	10
2005	2	3	10.5	5.8	3.4	2
2005	2	4	13.5	4.5	2.5	4
2005	2	5	12.5	5	1	2
2005	2	6	10.5	5.5	-1.8	3
2005	2	7	11.5	5	1.2	3
2005	2	8	11	4	2	3
2005	2	9	10.5	5.5	-3	3
2005	2	10	9.5	4	-4	4
2005	2	11	9.5	5	-3	5
2005	2	12	12.5	10	1	6
2005	2	13	14.5	13	2	7
2005	2	14	13	10.5	4	5
2005	2	15	18.5	15.5	5	6.5
2005	2	16	15.5	10.5	-0.4	4.4
2005	2	17	17.5	14.5	5	10
2005	2	18	19	16.5	10	8
2005	2	19	25	22	8.5	12
2005	2	20	27.5	23	13	15
2005	2	21	24	18.4	14	15
2005	2	22	15	13.6	4.8	7.6
2005	2	23	16.5	10.5	1.6	7
2005	2	24	17	14	8	10
2005	2	25	19.5	14	8	15
2005	2	26	19	14	9	15
2005	2	27	23	18.5	11	19
2005	2	28	28	26.5	11	20
2005	3	1	30	26.5	14	21
2005	3	2	27.5	19.4	13	18
2005	3	3	30	20	17	25
2005	3	4	26	26	15	22.4
2005	3	5	17	15.5	12.4	12.4
2005	3	6	13.5	11	5	7
