year	month	day	tSnowMelt(mm)	CN	SR(m3/s)	PET(mm)	AET(mm)	Infil(mm)	BF(m3/s)	Discharge(m3/s)
2013.0	6.0	4.0	0	65.7706599275	0.222400057606	8.83711611705	0	0	1.26759757751	1.48999763512	
2013.0	6.0	5.0	0	65.5283915000	0.177920046085	7.31406494000	0	0	1.20421769864	1.38213774472	
2013.0	6.0	6.0	0	65.2869608529	0.142336036868	8.03507545224	0	0	1.14400681370	1.28634285057	
2013.0	6.0	7.0	0	65.0464351940	0.113868829494	6.37681832288	0	0	1.08680647302	1.20067530251	
2013.0	6.0	8.0	0	64.8068801040	0.0910950635956	5.14192708318	2.69417172924	0	1.03246614937	1.12356121296	
2013.0	6.0	9.0	0	64.5683595321	0.0728760508765	6.22704419481	0	0	0.9808428419	1.05371889278	
2013.0	6.0	10.0	0	64.3309357921	0.0583008407012	7.81778566845	0	0	0.931800699805	0.990101540506	
2013.0	6.0	11.0	0	64.0946695605	0.0466406725609	7.97002703216	0	0	0.885210664815	0.931851337376	
2013.0	6.0	12.0	0	63.8596198775	0.0373125380488	6.29245327735	0	0	0.840950131574	0.878262669623	
2013.0	6.0	13.0	0	63.6258441484	0.029850030439	7.57535492755	0	0	0.798902624995	0.828752655434	
2013.0	6.0	14.0	0	63.3933981475	0.0238800243512	9.13890451018	0	0	0.758957493746	0.782837518097	
2013.0	6.0	15.0	0	63.1623360237	0.019104019481	8.67839728527	0	0	0.721009619058	0.740113638539	
2013.0	6.0	16.0	0	62.9327103072	0.0152832155848	9.16277309801	0	0	0.684959138105	0.70024235369	
2013.0	6.0	17.0	0	62.7045719182	0.0122265724678	10.8574405639	0	0	0.6507111812	0.662937753668	
2013.0	6.0	18.0	0	62.4779701771	0.00978125797425	9.28506511233	0	0	0.61817562214	0.627956880114	
2013.0	6.0	19.0	0	62.2529528155	0.0078250063794	7.29302510019	0	0	0.587266841033	0.595091847413	
2013.0	6.0	20.0	0	62.0295659894	0.00626000510352	6.83799220941	0	0	0.557903498982	0.564163504085	
2013.0	6.0	21.0	0	61.8078542932	0.00500800408282	5.53731781940	0	0	0.530008324032	0.535016328115	
2013.0	6.0	22.0	0	61.5878607750	0.00475730614578	5.66655393839	2.76208298089	0	0.503507907831	0.508265213977	
2013.0	6.0	23.0	0	61.3696269532	0.00380584491662	7.59134447047	0	0	0.478332512439	0.482138357356	
2013.0	6.0	24.0	0	61.1531928343	0.0030446759333	8.40740369315	0	0	0.454415886817	0.457460562751	
2013.0	6.0	25.0	0	60.9385969314	0.00243574074664	6.77227184886	0	0	0.431695092476	0.434130833223	
2013.0	6.0	26.0	0	60.7258762842	0.00194859259731	7.50489806733	0	0	0.410110337853	0.41205893045	
2013.0	6.0	27.0	0	60.5150664796	0.00155887407785	6.91486252028	0	0	0.38960482096	0.391163695038	
2013.0	6.0	28.0	0	60.3062016732	0.180982913978	7.40585247584	5.96577499834	0	0.370124579912	0.55110749389	
2013.0	6.0	29.0	0	60.0993146121	0.144786331182	8.35838005919	0	0	0.351618350916	0.496404682099	
2013.0	6.0	30.0	0	59.8944366574	0.115829064946	9.12712010998	0	0	0.334037433371	0.449866498317	
2013.0	7.0	1.0	0	59.6915978089	0.0926632519568	10.1711844685	0	0	0.317335561702	0.409998813659	
2013.0	7.0	2.0	0	59.4908267295	0.0741306015654	10.4394344195	0	0	0.301468783617	0.375599385182	
2013.0	7.0	3.0	0	59.2921507700	0.0593044812523	8.73410128916	0	0	0.286395344436	0.345699825688	
2013.0	7.0	4.0	0	59.0955959953	0.0474435850019	7.39744920373	0	0	0.272075577214	0.319519162216	
2013.0	7.0	5.0	0	58.9011872108	0.0379548680015	8.14307815523	0	0	0.258471798354	0.296426666355	
2013.0	7.0	6.0	0	58.7089479887	0.0303638944012	9.46027963675	0	0	0.245548208436	0.275912102837	
