year	month	day	34.5	190	1500	280	1000				
2004	4	8	0	0	0	0	0				
2004	4	9	0	0	0	0	0				
2004	4	10	0	0	0	0	0				
2004	4	11	0	0	0	0	0				
2004	4	12	0	0	0	0	0				
2004	4	13	0	0	0	0	0				
2004	4	14	0	0	0	0	0				
2004	4	15	0	0	0	0	0				
2004	4	16	0	5.5	0	0	0				
2004	4	17	30.5	36.5	15	31.5	18.5				
2004	4	18	23	28.5	12	20	5.5				
2004	4	19	0	0	0	0	0				
2004	4	20	0	0	0	0	0				
2004	4	21	0	0	0	0	0				
2004	4	22	0	0	0	0	0				
2004	4	23	0	0	0	0	0				
2004	4	24	0	0	0	0	0				
2004	4	25	8.5	7	3	6.5	10				
2004	4	26	1	3.5	3	2.5	4				
2004	4	27	2.5	5.5	0	6	0				
2004	4	28	2	6.5	3	5.5	0				
2004	4	29	0	0	0	0	0				
2004	4	30	0	0	0	0	0				
2004	5	1	0	0	0	0	0				
2004	5	2	3	0	0	0	0				
2004	5	3	0	0	0	0	0				
2004	5	4	0	0	0	0	0				
2004	5	5	4	10.5	15.5	6	16				
2004	5	6	9	30.5	10	30	0				
2004	5	7	0	0	0	0	0				
2004	5	8	0	0	0	0	0				
2004	5	9	0	0	0	0	0				
2004	5	10	0	0.5	0	2	0				
2004	5	11	0	0	0	0	0				
2004	5	12	0	0	0	0	0				
2004	5	13	0	1.5	5	0	6.5				
2004	5	14	5	7	0	5	0				
2004	5	15	0	0	0	0	0				
2004	5	16	1.5	0	0	0	0				
2004	5	17	0	0	0	0	0				
2004	5	18	0	0	0	0	0				
2004	5	19	0	0	0	0	0				
2004	5	20	0	0	0	0	0				
2004	5	21	6	22	5.5	30.5	0				
2004	5	22	0	0	0	0	0				
2004	5	23	1.5	2	0	0	0				
2004	5	24	8.5	3	0	0	2				
2004	5	25	2.5	0	0	0	0				
2004	5	26	0	0	0	0	0				
2004	5	27	0	0	0	0	0				
2004	5	28	0	0	0	0	0				
2004	5	29	0	0	0	0	0				
2004	5	30	0	3	2	0	0				
2004	5	31	0	0	0.5	0	0				
2004	6	1	0	0	0	0	0				
2004	6	2	0	0	0	0	0				
2004	6	3	0	0	0	0	0				
2004	6	4	0	0	0	0	0				
2004	6	5	0	0	0	2	0				
2004	6	6	0	0	0	0	0				
2004	6	7	0	0	0	0	0				
2004	6	8	0	0	0	0	0				
2004	6	9	0	0	0	0	0				
2004	6	10	0	0	0	0	0				
2004	6	11	0	5	1	9	0				
2004	6	12	3.5	1	1	2	0				
2004	6	13	0	4.5	8.5	25	0				
2004	6	14	0	0	0	0	0				
2004	6	15	0	0	0	0	0				
2004	6	16	0	0	0	0	0				
2004	6	17	0	0	0	0	0				
2004	6	18	0	0	0	0	0				
2004	6	19	0	0	0	0	0				
2004	6	20	0	0	0	0	0				
2004	6	21	0	0	0	0	0				
2004	6	22	0	0	0	0	0				
2004	6	23	0	0	0	0	0				
2004	6	24	0	0	0	0	0				
2004	6	25	0	0	0	0	0				
2004	6	26	0	0	0	0	0				
2004	6	27	0	0	0	0	0				
2004	6	28	0	0	0	0	0				
2004	6	29	0	0	0	0	0				
2004	6	30	11	23.5	1	26.5	0				
2004	7	1	1	2	0.5	3.5	0				
2004	7	2	0	0.5	0	0	0				
2004	7	3	0	0	0	0	0				
2004	7	4	0	0	0	0	0				
2004	7	5	0	0	0	0.5	0				
2004	7	6	1	1.5	0	2.5	0				
2004	7	7	1.5	3	1.5	6	0				
2004	7	8	0	0	0	0	0				
2004	7	9	0	0	0	0	0				
2004	7	10	1.5	3	3.5	13	6.5				
2004	7	11	24	40	11.5	40	8				
2004	7	12	1.5	0.5	0	0	0				
2004	7	13	0	0	0	0	0				
2004	7	14	0	0	0	0	0				
2004	7	15	0	0	0	0	0				
2004	7	16	0	0	0	0	0				
2004	7	17	0	0	0	0	0				
2004	7	18	0	0	0	0	0				
2004	7	19	0	0	0	0	0				
2004	7	20	0	7.5	0	0	0				
2004	7	21	0	0.5	0	0	0				
2004	7	22	8	8.5	0.5	6.5	2				
2004	7	23	0	0.5	1	0	5				
2004	7	24	1.5	0	2.5	0	1				
2004	7	25	0	1	0	1.5	0				
2004	7	26	0	0	0	0	0				
2004	7	27	0	0	0	0	0				
2004	7	28	0	0	0	0	0				
2004	7	29	0	0	0	1	0				
2004	7	30	0	0	0	0	0				
2004	7	31	0	0	0	0	0				
2004	8	1	0	0	0	0	0				
2004	8	2	0	0	0	0	0				
2004	8	3	0	0	0	0	0				
2004	8	4	0	0	0	0	0				
2004	8	5	0	0	0	0	0				
2004	8	6	0	0	0	0	0				
2004	8	7	0	0	0	0	0				
2004	8	8	0	8.5	0	8	0				
2004	8	9	0	0	0	0	0				
2004	8	10	0	0	0	0	0				
2004	8	11	0	0	0	0	0				
2004	8	12	0	0	0	0	0				
2004	8	13	0	0.5	0	0	0				
2004	8	14	0	0	0	0	0				
2004	8	15	0	0	0	0	0				
2004	8	16	0	0	0	0	0				
2004	8	17	0	0	0	0	0				
2004	8	18	0	0	0	0	0				
2004	8	19	0	0	0	0	0				
2004	8	20	0	0	0	0	0				
2004	8	21	0	0	0	0	0				
2004	8	22	0	0	0	0	0				
2004	8	23	0	0	0	0	0				
2004	8	24	0	0	0	0	0				
